username,status,reason,source,country,followers,avg_views_10,engagement_rate,shop_signals,shop_valid,shop_proof,shop_proof_method,email,email_source,email_verified,bio_url,bio,profile_url,source_url,fastmoss_units_sold,fastmoss_gmv,fastmoss_seller_id
emma.labama,,,tikhub_search,,,,,,,,,,,,,,,,,,
ccc.andreaa,,,tikhub_search,,,,,,,,,,,,,,,,,,
amandinetalks,,,tikhub_search,,,,,,,,,,,,,,,,,,
laura.lchr,,,tikhub_search,,,,,,,,,,,,,,,,,,
audreyugc,,,tikhub_search,,,,,,,,,,,,,,,,,,
ugcwlina,,,tikhub_search,,,,,,,,,,,,,,,,,,
ugcwithelanna,,,tikhub_search,,,,,,,,,,,,,,,,,,
ugc_laurinep,,,tikhub_search,,,,,,,,,,,,,,,,,,
creatricesbeaute,,,tikhub_search,,,,,,,,,,,,,,,,,,
ladybodybrand,,,tikhub_search,,,,,,,,,,,,,,,,,,
ghita.ugc,,,tikhub_search,,,,,,,,,,,,,,,,,,
jade.ugccontent,,,tikhub_search,,,,,,,,,,,,,,,,,,
mou.ssa917,,,tikhub_search,,,,,,,,,,,,,,,,,,
businessdigital.academie,,,tikhub_search,,,,,,,,,,,,,,,,,,
ugc.mareva,,,tikhub_search,,,,,,,,,,,,,,,,,,
linalina9.2,,,tikhub_search,,,,,,,,,,,,,,,,,,
maison.iba,,,tikhub_search,,,,,,,,,,,,,,,,,,
vitrineshopfrance,,,tikhub_search,,,,,,,,,,,,,,,,,,
hexagone420,,,tikhub_search,,,,,,,,,,,,,,,,,,
seyboutiqueparis,,,tikhub_search,,,,,,,,,,,,,,,,,,
akremzahouani360,,,tikhub_search,,,,,,,,,,,,,,,,,,
maisoncvm,,,tikhub_search,,,,,,,,,,,,,,,,,,
bellllevita,,,tikhub_search,,,,,,,,,,,,,,,,,,
cindygredziak,,,tikhub_search,,,,,,,,,,,,,,,,,,
xyzaun.000,,,tikhub_search,,,,,,,,,,,,,,,,,,
nellamendez4,,,tikhub_search,,,,,,,,,,,,,,,,,,
aprizo_off,,,tikhub_search,,,,,,,,,,,,,,,,,,
syemsim1,,,tikhub_search,,,,,,,,,,,,,,,,,,
thecryptopher,,,tikhub_search,,,,,,,,,,,,,,,,,,
maevaa.ghennam,,,tikhub_search,,,,,,,,,,,,,,,,,,
anissaanissa6747,,,tikhub_search,,,,,,,,,,,,,,,,,,
amsalgdz,,,tikhub_search,,,,,,,,,,,,,,,,,,
ceproduiitexiste,,,tikhub_search,,,,,,,,,,,,,,,,,,
gurlmeetsfood,,,tikhub_search,,,,,,,,,,,,,,,,,,
prima.fadi,,,tikhub_search,,,,,,,,,,,,,,,,,,
nsepes,,,tikhub_search,,,,,,,,,,,,,,,,,,
natalieplasticandmore,,,tikhub_search,,,,,,,,,,,,,,,,,,
aboutemmal,,,tikhub_search,,,,,,,,,,,,,,,,,,
stephenjallow,,,tikhub_search,,,,,,,,,,,,,,,,,,
mademoisellecoconuts,,,tikhub_search,,,,,,,,,,,,,,,,,,
alysproofficiel,,,tikhub_search,,,,,,,,,,,,,,,,,,
larisatimeahaidt,,,tikhub_search,,,,,,,,,,,,,,,,,,
call_me_sarah63,,,tikhub_search,,,,,,,,,,,,,,,,,,
abdou.marseille5,,,tikhub_search,,,,,,,,,,,,,,,,,,
atsuhi.67,,,tikhub_search,,,,,,,,,,,,,,,,,,
akxx11336o8,,,tikhub_search,,,,,,,,,,,,,,,,,,
mayou1988,,,tikhub_search,,,,,,,,,,,,,,,,,,
the.social.medium,,,tikhub_search,,,,,,,,,,,,,,,,,,
digital_stratege,,,tikhub_search,,,,,,,,,,,,,,,,,,
elite_aromaz,,,tikhub_search,,,,,,,,,,,,,,,,,,
mamycissecisse,,,tikhub_search,,,,,,,,,,,,,,,,,,
monicamrll.ugc,,,tikhub_search,,,,,,,,,,,,,,,,,,
cuticlenails_,,,tikhub_search,,,,,,,,,,,,,,,,,,
elurrugc,,,tikhub_search,,,,,,,,,,,,,,,,,,
aainalorente,,,tikhub_search,,,,,,,,,,,,,,,,,,
valendicembre,,,tikhub_search,,,,,,,,,,,,,,,,,,
iselfcareblog,,,tikhub_search,,,,,,,,,,,,,,,,,,
nereaalvmart,,,tikhub_search,,,,,,,,,,,,,,,,,,
lizestefanii,,,tikhub_search,,,,,,,,,,,,,,,,,,
azucenabalaguer,,,tikhub_search,,,,,,,,,,,,,,,,,,
mediamisterspanish,,,tikhub_search,,,,,,,,,,,,,,,,,,
mimmibrand,,,tikhub_search,,,,,,,,,,,,,,,,,,
mar.almeda.ugc,,,tikhub_search,,,,,,,,,,,,,,,,,,
emma.jaubert,,,tikhub_search,,,,,,,,,,,,,,,,,,
itslittleyona,,,tikhub_search,,,,,,,,,,,,,,,,,,
eva.lfstl,,,tikhub_search,,,,,,,,,,,,,,,,,,
victoiredupuis_,,,tikhub_search,,,,,,,,,,,,,,,,,,
romanedrne,,,tikhub_search,,,,,,,,,,,,,,,,,,
noemietchmakeup,,,tikhub_search,,,,,,,,,,,,,,,,,,
justejujuu,,,tikhub_search,,,,,,,,,,,,,,,,,,
angy_ky,,,tikhub_search,,,,,,,,,,,,,,,,,,
yllana__hbx,,,tikhub_search,,,,,,,,,,,,,,,,,,
marinainnantes,,,tikhub_search,,,,,,,,,,,,,,,,,,
whitney.gtr,,,tikhub_search,,,,,,,,,,,,,,,,,,
bella_christine1,,,tikhub_search,,,,,,,,,,,,,,,,,,
liaaamiam,,,tikhub_search,,,,,,,,,,,,,,,,,,
ryryboom,,,tikhub_search,,,,,,,,,,,,,,,,,,
graceandgracetiktok,,,tikhub_search,,,,,,,,,,,,,,,,,,
kmchartier,,,tikhub_search,,,,,,,,,,,,,,,,,,
mariam.bsg,,,tikhub_search,,,,,,,,,,,,,,,,,,
brittdoestok,,,tikhub_search,,,,,,,,,,,,,,,,,,
mannala__,,,tikhub_search,,,,,,,,,,,,,,,,,,
